user_input|response

1. 코코몽에 대해 알려줘.|싱싱대학교 기계공학과 1학년 신입생으로, 발명을 좋아하여 공과대학에 입학하게 되었습니다. 활발하고 낙천적인 24학번 새내기를 담당하고 있으며 친구들에게 긍정적인 마음을 심어주고 응원합니다. 사회 생활을 많이 해보지 않은 어린 학생이라, 눈치가 부족하고 덤벙대는 성향이 있습니다. 이로 인해 말실수가 잦아서 여러 갈등 상황이 벌어지기도 하지만, 갈등을 딛고 성장합니다. 즉흥적인 성격이라 마니또를 할 때 선물을 준비하지 못했으며 여행 당일 지각을 하여 기차에 못 탈 뻔하기도 했습니다. 하지만 노는 것을 좋아해서 놀기 위한 계획을 짜는 것은 잘합니다. 장점은 '긍정적' , '활발함' 이고 단점은 '넌씨눈' , '대가리꽃밭' 이라는 것입니다.

2. 코코몽의 친구들은 누구야?|코코몽의 친구들로는 아로미, 아글이, 파닥이, 캔디팡, 세균킹이 있습니다. 코코몽과 아로미는 냉장고등학교 동창이며 같은 반이었고, 현재는 함께 싱싱대학교를 다니고 있습니다. 코코몽과 파닥이는 냉장고등학교 동창이며 같은 반이었습니다. 코코몽과 아글이는 냉장고등학교 동창이며 같은 반이었습니다. 코코몽과 캔디팡은 연애교양수업에서 처음 만났습니다, 캔디팡은 코코몽을 의식하고 있으며 아로미를 견제합니다. 그렇지만 코코몽은 캔디팡에 대한 관심이 적습니다. 코코몽과 세균킹은 기계공학과 선후배 입니다, 세균킹은 자신의 첫사랑을 뺏어간 롱소세지와 닮은 코코몽을 견제합니다.

3. 코코몽이 좋아하는 음식은 뭐야?|코코몽은 바나나를 좋아하며 바나나깡과 바나나 우유를 자주 먹습니다. 또 떡볶이와 마라탕을 먹는 것을 좋아합니다. 하지만 소세지를 가장 자주 먹는 것 같습니다

4. 코코몽의 나이는 몇 살이야?|코코몽은 2024년에 스무 살이 되었습니다.

5. 코코몽은 싱싱대학교에 어떻게 들어갔어?|코코몽은 싱싱대학교 수시전형에서 불합격 하였습니다.정시 전형에서 원서를 작성할 때 고민이 많았으나 담임 선생님의 허락으로 지원하게 되었습니다.아로미와 함께 면접을 보았는데 불합격하여 불안해하였습니다.결국 예비 번호를 받아 기다림 끝에 입학을 하게 되었습니다.

6. 코코몽의 취미는 뭐야?|
"코코몽은 친구들과 노는 것을 가장 좋아합니다. 
코코몽은 게임을 즐겨 하고 노래방에 가는 것을 좋아합니다.
코코몽은 인스타그램을 즐겨 하고 사진 찍는 것을 좋아합니다.
코코몽은 연예인을 좋아하며 특히 뉴진면스와 에스양파를 좋아하고 있습니다"|

7. 코코몽의 목표는 뭐야?|
"코코몽은 행복한 캠퍼스 라이프를 목표하고 있습니다.
전공책을 들고 캠퍼스를 거닐거나 커피 한 잔을 여유 있게 마시고 출튀 후 낮잠 자는 모습을 상상합니다."|

8. 코코몽의 로망은 뭐야?|
코코몽은 친구의 자취방에서 같이 노는 게 로망이었습니다.|

9. 코코몽은 어디에 살고 있어?|
"코코몽의 정확한 집은 공개되지 않았지만 싱싱대학교까지 통학을 하고 있습니다.
7시 20분에 지하철을 타야 하며 환승도 하고 계단을 오르고 셔틀까지 타야 도착할 수 있습니다."|

10. 코코몽과 캔디팡은 어떻게 만났어?|
"코코몽은 수강신청에 실패한 후 아무거나 잡은 연애교양수업을 듣고 있습니다.
캔디팡은 우주공강을 메꾸려고 생각없이 잡은 연애교양수업을 듣고 있습니다.
코코몽과 캔디팡은 연애교양수업에서 처음 만나게 되었습니다.
캔디팡은 코코몽의 다정한 말 한마디를 듣고 두근거리게 됩니다."|

11. 코코몽은 공부 열심히 해?|
"코코몽은 대학 첫 중간고사를 망쳤습니다.
도서관에 가면 코골면서 자고 있습니다.
스터디에 가입을 해도 노느라 집중하지 못합니다.
미루는 것을 좋아하는 편이라 당장 공부하는 것보다 미래의 자신에게 맡기는 편입니다
기말고사에서는 연애 교양의 성적이 높았으나 전공 시험을 망치게 됩니다."|

12. 코코몽의 말투를 알려줘|
"코코몽은 ~몽. 체를 사용하며 긍정적이고 에너지 넘치는 말투를 사용합니다.
예를 들어, '친구들은 고민 있어몽?', '우리 함께 하자몽!' 등이 있습니다."|

13. 코코몽의 생김새는 어때|
"코코몽은 빨간색 털을 가진 원숭이로, 항상 밝은 표정을 짓고 있습니다. 
소시지가 변한 모습인 것이 큰 특징입니다."|

14. 아로미에 대해 알려줘|
"싱싱대학교 경영학과 1학년 신입생으로, 코코몽의 가장 친한 친구이자 과대를 맡고 있는 야무지고 성실한 새내기 대학생입니다.
성실하고 야무지지만, 자기중심적인 성향 때문에 의도치 않게 주위에 피해를 끼칠 때가 있습니다.
친구보다 공부, 내가 할 일을 우선적으로 생각하는 경향이 있었으나, 친구들의 배려를 받으면서 점점 성장하게 됩니다.
장점은 '완벽주의' , '성실함' 이고 단점은 '자기중심적' 입니다."|

15. 아글이에 대해 알려줘|
"대학에 재도전하는 재수생으로, 입시 학원 앞에서 자취 중인 자취생이자 요리 실력이 상당한 '야매 자취 요리'의 달인입니다.
기본적으로 온화한 성격이지만, '재수'라는 특수한 상황으로 인하여 예민, 우울해지는 부정적 감정 변화를 경험합니다.
재수로 인하여 우울해져 친구들에게 화를 내거나 싸우기도 하지만, 점차 단단해지며 성장하게 됩니다.
아글이의 취미는 요리입니다.
'재수생'이지만 부정적이지 않으려고 노력하며, 주어진 일을 우직하게 해냅니다.
'요리왕' '자취왕'이며 친구들에게 요리를 해주겠다는 명목으로 집으로 자주 초대합니다."|

16. 캔디팡에 대해 알려줘|
"싱싱대학교 예술대학의 여신이자 성적까지 좋은 단과대 탑을 담당하고 있으며 아로미와 서로 견제하는 사이입니다.
아름다운 외모 때문에 오해를 받기도 하며 인간관계에 지쳐 주로 혼자 대학 생활을 하는 '솔플' 여신입니다. 
하지만 사람들과 어울리지 못하여 학점 위기를 맞이하게 되어 고민을 거듭하던 중
'날로먹는회'라는 동아리 포스터를 보게 되고 가입하게 됩니다."|

17. 파닥이에 대해 알려줘|
"대학 진학보다 스스로 더 재능있다고 생각한 알바의 세계로 뛰어든 '프로 n잡러 알바왕'
진상 앞에서는 쌈닭이 되고 맙니다.
나만의 가게를 차려 사장님이 되는 것이 꿈이었던 파닥이는, 고등학교 졸업 후 대학에 진학하지 않습니다.
대신 아르바이트를 통해 식당 경험을 쌓게 되고, 창업 자본금을 모으기로 결심합니다.
아르바이트 도중 단골 손님들과 싸우게 되고 이로 인하여 가게에 금전적으로 피해를 끼치게 된 경험 이후,
좋은 어른인 사장님의 조언을 듣고 성장하게 됩니다.
친구들에게 늘 '너희들이 대학 졸업할 때 나는 치킨집 사장님이 되어 있을 거야, 꼭 놀러와야 해!'라는 말을 합니다.
장점은 : '솔직함' 이지만 단점은 '필터링을 못하는 것'입니다."|

18.세균킹에 대해 알려줘|
"코코몽의 직속선배이자 기계공학과 2학년 재학 중인 공대생입니다.
똑똑하고 대외적인 코코몽을 견제하며 캔디팡과 친한 사이입니다. 
1학년 너드 시잘 짝녀에게 고백을 하였습니다. 하지만 짝녀가 세균킹과 롱소시지 선배를 비교하며 고백을 거절한 것을 계기로 흑화하게 됩니다.
그 때 들었던 말은 '롱소시지 선배가 너보다 키도 크고 공부도 잘해, 넌 별로야' 입니다. 
충격을 받은 세균킹은 학점을 올리기 위하여 '날로먹는회'라는 동아리에 가입하게 됩니다.
롱소시지 선배와 닮은 코코몽을 견제합니다."|
